drgv22,drg_title,mdc,mdc_name,drg_type,relative_weights,geometric_mean_los
1,CRANIOTOMY AGE >17 W CC,01,Nervous System,SURG,3.3344,7.5
2,CRANIOTOMY AGE >17 W/O CC,01,Nervous System,SURG,1.9467,3.6
3,CRANIOTOMY AGE 0-17,01,Nervous System,SURG,1.9767,12.7
6,CARPAL TUNNEL RELEASE,01,Nervous System,SURG,0.785,2.2
7,PERIPH & CRANIAL NERVE & OTHER NERV SYST PROC W CC,01,Nervous System,SURG,2.657,6.6
8,PERIPH & CRANIAL NERVE & OTHER NERV SYST PROC W/O CC,01,Nervous System,SURG,1.5588,1.9
9,SPINAL DISORDERS & INJURIES,01,Nervous System,MED,1.2435,4.3
10,NERVOUS SYSTEM NEOPLASMS W CC,01,Nervous System,MED,1.2241,4.7
11,NERVOUS SYSTEM NEOPLASMS W/O CC,01,Nervous System,MED,0.8771,2.9
12,DEGENERATIVE NERVOUS SYSTEM DISORDERS,01,Nervous System,MED,0.9136,4.3
13,MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA,01,Nervous System,MED,0.8171,4.0
14,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION,01,Nervous System,MED,1.2719,4.6
15,NONSPECIFIC CVA & PRECEREBRAL OCCLUSION W/O INFARCT,01,Nervous System,MED,0.9482,3.7
16,NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,01,Nervous System,MED,1.2454,4.7
17,NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC,01,Nervous System,MED,0.6996,2.5
18,CRANIAL & PERIPHERAL NERVE DISORDERS W CC,01,Nervous System,MED,0.9919,4.1
19,CRANIAL & PERIPHERAL NERVE DISORDERS W/O CC,01,Nervous System,MED,0.7048,2.8
20,NERVOUS SYSTEM INFECTION EXCEPT VIRAL MENINGITIS,01,Nervous System,MED,2.8318,8.0
21,VIRAL MENINGITIS,01,Nervous System,MED,1.5238,5.0
22,HYPERTENSIVE ENCEPHALOPATHY,01,Nervous System,MED,1.1206,4.0
23,NONTRAUMATIC STUPOR & COMA,01,Nervous System,MED,0.8365,3.2
24,SEIZURE & HEADACHE AGE >17 W CC,01,Nervous System,MED,1.013,3.6
25,SEIZURE & HEADACHE AGE >17 W/O CC,01,Nervous System,MED,0.6143,2.5
26,SEIZURE & HEADACHE AGE 0-17,01,Nervous System,MED,0.568,2.4
